2026-02-01 00:00:15 | INFO | auth | Cache miss key=rate:218.224.64.212 (env=staging, region=me-south-1, ip=218.224.64.212, request_id=t55bkc1xaztl5ddo, trace_id=rqwegheyldke0lujqy44t8qk, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:00:45 | INFO | auth | Cache miss key=user:6671 (env=dev, region=eu-west-1, ip=25.152.92.160, request_id=vru7os6caayiatfl, trace_id=wk8ps5f4yf9jmpi8yp6mcolp, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:01:08 | INFO | auth | Metrics pushed cpu=6% mem=24% (env=prod, region=ap-southeast-1, ip=209.80.142.74, request_id=kx9dqdl12fnzeu09, trace_id=wa2brdfizj9d50uai38qdf81, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-01 00:01:32 | WARN | auth | Circuit breaker half-open dependency=stripe (env=prod, region=us-east-1, ip=161.26.182.4, request_id=lflqjl3txckugnp7, trace_id=6xlsh3wl7aheqnnsebn10d8a, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:03:45 | INFO | auth | Token refreshed user_id=2210 (env=prod, region=ap-southeast-1, ip=251.167.207.34, request_id=kiri27go9yv3rev3, trace_id=yb02hc2ftf3rsh23hiiiu31o, ua="curl/8.4.0")
2026-02-01 00:03:58 | INFO | auth | Token refreshed user_id=9146 (env=prod, region=us-east-1, ip=196.104.201.163, request_id=5jfj387nwuzlr7mw, trace_id=1k07p70hb4k0k1j9gtk3ko1q, ua="curl/8.4.0")
2026-02-01 00:04:01 | INFO | auth | File uploaded id=file_lv98tzrd83 bytes=6391149 (env=prod, region=ap-southeast-1, ip=97.243.83.110, request_id=vwr2f4h22zf8928f, trace_id=wjzh1kdkku7ttppfk20jtuw1, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:05:03 | INFO | auth | User logout success user_id=8245 (env=prod, region=me-south-1, ip=51.244.245.188, request_id=r77qlm2fi21xn98x, trace_id=avok1plf7qoy515xw4ca8bea, ua="curl/8.4.0")
2026-02-01 00:05:40 | INFO | auth | POST /search?q=charger 400 (781ms) (env=prod, region=me-south-1, ip=186.110.120.126, request_id=pbcz9g2xkmf2ujll, trace_id=vqbhgp8tgtkf0y062lacq9s7, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:06:03 | INFO | auth | Cache miss key=inv:SKU92921 (env=staging, region=me-south-1, ip=193.60.139.128, request_id=np81xrczpxybnmmm, trace_id=12slylrn0jmo2a20cspaj0y0, ua="PostmanRuntime/7.36.0")
2026-02-01 00:06:37 | INFO | auth | Metrics pushed cpu=35% mem=39% (env=prod, region=ap-southeast-1, ip=126.226.116.162, request_id=0r1x1ylz9a33fx23, trace_id=fm68aorfa4co6jgsuvy1bjfk, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:06:44 | INFO | auth | Token refreshed user_id=6872 (env=prod, region=me-south-1, ip=237.70.12.99, request_id=b5m919jsvtirz1sy, trace_id=yi5u5mpfmhwtkfoum5w5o4zc, ua="curl/8.4.0")
2026-02-01 00:06:56 | INFO | auth | Metrics pushed cpu=77% mem=61% (env=prod, region=eu-west-1, ip=12.241.180.137, request_id=jnfb4xyaxk3yjr1s, trace_id=ll2u1ybjlyhg50fnyvs05so1, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-01 00:07:06 | INFO | auth | Job completed successfully: job=invoice-run duration_ms=3210 (env=prod, region=ap-southeast-1, ip=186.52.203.236, request_id=thl18tc7ym5q2bjj, trace_id=6pcvj6kfzd7h1x7oeki5ss2b, ua="PostmanRuntime/7.36.0")
2026-02-01 00:07:29 | INFO | auth | Cache miss key=rate:87.116.81.38 (env=prod, region=me-south-1, ip=87.116.81.38, request_id=me10i3rm0qg1zevg, trace_id=2j0uzbx27cli7rbf35sv2o05, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-01 00:07:41 | WARN | auth | Temporary network jitter detected rtt_ms=623 (env=prod, region=eu-west-1, ip=234.88.193.134, request_id=sqwbzwpoc2ghc53n, trace_id=zsp81qawyihrddsryw480j0w, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-01 00:07:43 | INFO | auth | User login success user_id=6476 (env=staging, region=eu-west-1, ip=13.253.78.63, request_id=l5rjlicqqg06r8u1, trace_id=v0uwnddr8gwuwxp0mbo5689v, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
